Altium Designer Pick and Place Locations
C:\Users\kienlt44\Desktop\Project VinMotion\VinMotion\VinMotion\Low_level_NXP 3\Low_level_NXP\Low_level_NXP\#NAME_.csv

========================================================================================================================
File Design Information:

Date:       29/09/25
Time:       16:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C7031","CL31B106KOHVPNE","TopLayer","CAP0603","103.1699","16.9641","0","CAP CER 10uF 16V 10% X7R 1206 SMD"
"U7006","TXB0106RGYR","TopLayer","16-VFQFN_Exposed_Pad","104.3717","22.3155","270","IC VOLTAGE LEVEL BIDIR 16-VQFN"
"C7030","0402YC104KAT2A","TopLayer","CAP0402","106.6751","25.3715","0","CAP CER 0.1UF 16V X7R 0402"
"C7029","0402YC104KAT2A","TopLayer","CAP0402","106.6751","19.2501","0","CAP CER 0.1UF 16V X7R 0402"
"U7005","TXB0106RGYR","BottomLayer","16-VFQFN_Exposed_Pad","52.5557","26.6749","90","IC VOLTAGE LEVEL BIDIR 16-VQFN"
"C7028","0402YC104KAT2A","BottomLayer","CAP0402","54.6305","23.1435","270","CAP CER 0.1UF 16V X7R 0402"
"C7027","0402YC104KAT2A","BottomLayer","CAP0402","54.6305","30.1721","90","CAP CER 0.1UF 16V X7R 0402"
"C1051","UMK105B7102KVHF","TopLayer","CAP0402","9.3423","62.7095","180","CAP CER 1nF 50V 10% X7R 0402 SMD"
"C1050","UMK105B7102KVHF","TopLayer","CAP0402","12.9999","61.1601","270","CAP CER 1nF 50V 10% X7R 0402 SMD"
"C1049","UMK105B7102KVHF","BottomLayer","CAP0402","10.5869","65.0971","180","CAP CER 1nF 50V 10% X7R 0402 SMD"
"C1048","UMK105B7472KVHF","TopLayer","CAP0402","25.9793","58.9249","270","CAP CER 4.7nF 50V 10% X7R 0402 SMD"
"C1047","UMK105B7102KVHF","TopLayer","CAP0402","16.2003","57.2993","270","CAP CER 1nF 50V 10% X7R 0402 SMD"
"C1046","GCM155R71H103KA55D","TopLayer","CAP0402","17.0893","59.8139","270","CAP CER 10000PF 50V X7R 0402"
"C1045","GCM155R71H103KA55D","TopLayer","CAP0402","19.0705","59.8139","270","CAP CER 10000PF 50V X7R 0402"
"C1044","0402YC104KAT2A","TopLayer","CAP0402","25.6491","70.4819","90","CAP CER 0.1UF 16V X7R 0402"
"U8002","MC74VHC1GT08DFT1G","BottomLayer","SOT95P280X145-5N","74.3705","38.8007","0","IC GATE AND 1CH 2-INP SC88A"
"U8001","LSF0102DQER","BottomLayer","8-XFDFN","68.1817","37.9163","0","IC VOLTAGE LEVEL BIDIR 8-X2SON"
"U3002","MC74VHC1GT08DFT1G","TopLayer","SOT95P280X145-5N","81.4095","61.8163","270","IC GATE AND 1CH 2-INP SC88A"
"U3001","LSF0102DQER","TopLayer","8-XFDFN","62.9645","47.2787","90","IC VOLTAGE LEVEL BIDIR 8-X2SON"
"R8044","RMCF0402FT10K0","BottomLayer","RES0402","70.9119","39.3415","90","RES 10K OHM 1% 1/16W 0402"
"R8043","RMCF0402FT10K0","BottomLayer","RES0402","70.9119","37.3095","270","RES 10K OHM 1% 1/16W 0402"
"R8042","RMCF0402FT10K0","BottomLayer","RES0402","78.0239","39.7479","0","RES 10K OHM 1% 1/16W 0402"
"R8041","RMCF0402FT10K0","BottomLayer","RES0402","68.2013","36.3443","180","RES 10K OHM 1% 1/16W 0402"
"R8040","RMCF0402FT10K0","BottomLayer","RES0402","68.1433","39.4685","0","RES 10K OHM 1% 1/16W 0402"
"R8039","RMCF0402FT10K0","BottomLayer","RES0402","65.5343","38.7065","180","RES 10K OHM 1% 1/16W 0402"
"R8038","RMCF0402FT10K0","TopLayer","RES0402","66.9495","43.3801","90","RES 10K OHM 1% 1/16W 0402"
"R3011","RMCF0402ZT0R00","BottomLayer","RES0402","50.6427","51.8637","270","RES 0R 1/16W 1% 0402 SMD"
"R3010","RMCF0402FT10K0","TopLayer","RES0402","81.4275","65.7139","90","RES 10K OHM 1% 1/16W 0402"
"R3009","RMCF0402FT10K0","TopLayer","RES0402","82.5451","65.7139","90","RES 10K OHM 1% 1/16W 0402"
"R3008","RMCF0402FT10K0","TopLayer","RES0402","61.2091","47.2155","270","RES 10K OHM 1% 1/16W 0402"
"R3007","RMCF0402FT10K0","TopLayer","RES0402","65.6287","44.4977","270","RES 10K OHM 1% 1/16W 0402"
"R3006","RMCF0402FT10K0","TopLayer","RES0402","63.8507","44.5231","270","RES 10K OHM 1% 1/16W 0402"
"R3005","RMCF0402FT10K0","TopLayer","RES0402","81.5473","59.1027","0","RES 10K OHM 1% 1/16W 0402"
"FB8003","BLM18KG121TH1D","BottomLayer","FB0603","83.6241","52.2447","0","FERRITE BEAD 120 OHM 0603 1LN"
"FB8002","BLM18KG121TH1D","TopLayer","FB0603","84.0437","55.3181","0","FERRITE BEAD 120 OHM 0603 1LN"
"C8027","0402YC104KAT2A","BottomLayer","CAP0402","74.5695","36.3443","180","CAP CER 0.1UF 16V X7R 0402"
"C8026","0402YC104KAT2A","BottomLayer","CAP0402","69.8451","36.8341","270","CAP CER 0.1UF 16V X7R 0402"
"C8025","0402YC104KAT2A","BottomLayer","CAP0402","65.5343","37.6651","180","CAP CER 0.1UF 16V X7R 0402"
"C8024","GRT188C81C475KE13D","BottomLayer","CAP0603","83.5231","55.0387","180","CAP CER 4.7uF 16V 10% X6S 0603 SMD"
"C8023","GRT188C81C475KE13D","BottomLayer","CAP0603","83.5231","53.5909","180","CAP CER 4.7uF 16V 10% X6S 0603 SMD"
"C8022","GRT188C81C475KE13D","TopLayer","CAP0603","86.7869","53.7941","0","CAP CER 4.7uF 16V 10% X6S 0603 SMD"
"C6065","GRT188C81C475KE13D","BottomLayer","CAP0603","71.0389","57.8709","270","CAP CER 4.7uF 16V 10% X6S 0603 SMD"
"C6064","GRT188C81C475KE13D","TopLayer","CAP0603","70.6833","53.4639","90","CAP CER 4.7uF 16V 10% X6S 0603 SMD"
"C6063","GRT188C81C475KE13D","BottomLayer","CAP0603","68.1687","56.6263","90","CAP CER 4.7uF 16V 10% X6S 0603 SMD"
"C6062","GRT188C81C475KE13D","BottomLayer","CAP0603","73.5789","59.8901","180","CAP CER 4.7uF 16V 10% X6S 0603 SMD"
"C6061","GRT188C81C475KE13D","BottomLayer","CAP0603","60.0281","69.6945","0","CAP CER 4.7uF 16V 10% X6S 0603 SMD"
"C3032","0402YC104KAT2A","TopLayer","CAP0402","83.8405","60.7283","90","CAP CER 0.1UF 16V X7R 0402"
"C3031","0402YC104KAT2A","TopLayer","CAP0402","62.7839","49.6285","90","CAP CER 0.1UF 16V X7R 0402"
"C3030","0402YC104KAT2A","TopLayer","CAP0402","62.5045","44.5231","270","CAP CER 0.1UF 16V X7R 0402"
"R1020","RMCF0805ZT0R00","TopLayer","RES0805","32.1261","67.4085","270","RES 0R 1/8W 0% 0805 SMD"
"R1026","RMCF0805ZT0R00","TopLayer","RES0805","10.1805","60.4775","270","RES 0R 1/8W 0% 0805 SMD"
"R1025","RMCF0805ZT0R00","TopLayer","RES0805","14.5239","60.4743","270","RES 0R 1/8W 0% 0805 SMD"
"R1023","RMCF0805ZT0R00","BottomLayer","RES0805","10.2059","68.5515","180","RES 0R 1/8W 0% 0805 SMD"
"R1022","RMCF0805ZT0R00","BottomLayer","RES0805","8.7475","73.5045","180","RES 0R 1/8W 0% 0805 SMD"
"R1021","RMCF0805ZT0R00","BottomLayer","RES0805","10.2165","66.3925","180","RES 0R 1/8W 0% 0805 SMD"
