Designator,Mid X,Mid Y,Layer,Rotation
C7031,103.1699,16.9641,TopLayer,0
U7006,104.3717,22.3155,TopLayer,270
C7030,106.6751,25.3715,TopLayer,0
C7029,106.6751,19.2501,TopLayer,0
U7005,52.5557,26.6749,BottomLayer,90
C7028,54.6305,23.1435,BottomLayer,270
C7027,54.6305,30.1721,BottomLayer,90
C1051,9.3423,62.7095,TopLayer,180
C1050,12.9999,61.1601,TopLayer,270
C1049,10.5869,65.0971,BottomLayer,180
C1048,25.9793,58.9249,TopLayer,270
C1047,16.2003,57.2993,TopLayer,270
C1046,17.0893,59.8139,TopLayer,270
C1045,19.0705,59.8139,TopLayer,270
C1044,25.6491,70.4819,TopLayer,90
U8002,74.3705,38.8007,BottomLayer,0
U8001,68.1817,37.9163,BottomLayer,0
U3002,81.4095,61.8163,TopLayer,270
U3001,62.9645,47.2787,TopLayer,90
R8044,70.9119,39.3415,BottomLayer,90
R8043,70.9119,37.3095,BottomLayer,270
R8042,78.0239,39.7479,BottomLayer,0
R8041,68.2013,36.3443,BottomLayer,180
R8040,68.1433,39.4685,BottomLayer,0
R8039,65.5343,38.7065,BottomLayer,180
R8038,66.9495,43.3801,TopLayer,90
R3011,50.6427,51.8637,BottomLayer,270
R3010,81.4275,65.7139,TopLayer,90
R3009,82.5451,65.7139,TopLayer,90
R3008,61.2091,47.2155,TopLayer,270
R3007,65.6287,44.4977,TopLayer,270
R3006,63.8507,44.5231,TopLayer,270
R3005,81.5473,59.1027,TopLayer,0
FB8003,83.6241,52.2447,BottomLayer,0
FB8002,84.0437,55.3181,TopLayer,0
C8027,74.5695,36.3443,BottomLayer,180
C8026,69.8451,36.8341,BottomLayer,270
C8025,65.5343,37.6651,BottomLayer,180
C8024,83.5231,55.0387,BottomLayer,180
C8023,83.5231,53.5909,BottomLayer,180
C8022,86.7869,53.7941,TopLayer,0
C6065,71.0389,57.8709,BottomLayer,270
C6064,70.6833,53.4639,TopLayer,90
C6063,68.1687,56.6263,BottomLayer,90
C6062,73.5789,59.8901,BottomLayer,180
C6061,60.0281,69.6945,BottomLayer,0
C3032,83.8405,60.7283,TopLayer,90
C3031,62.7839,49.6285,TopLayer,90
C3030,62.5045,44.5231,TopLayer,270
R1020,32.1261,67.4085,TopLayer,270
R1026,10.1805,60.4775,TopLayer,270
R1025,14.5239,60.4743,TopLayer,270
R1023,10.2059,68.5515,BottomLayer,180
R1022,8.7475,73.5045,BottomLayer,180
R1021,10.2165,66.3925,BottomLayer,180
R1010,28.1129,75.9175,TopLayer,270
CON8000,96.1771,65.8971,TopLayer,90
U6000,66.0455,64.4925,TopLayer,270
L1000,9.1391,90.9543,TopLayer,270
Y8000,81.5291,38.9351,TopLayer,315
U8000,79.5733,47.6219,TopLayer,180
U7004,43.8665,26.4341,BottomLayer,180
U7003,39.3014,99.1237,TopLayer,0
U7002,69.2668,36.8563,TopLayer,0
U4007,86.5075,20.4767,TopLayer,270
U4006,96.0833,20.4767,TopLayer,270
U2002,41.4007,64.1813,TopLayer,270
R8037,72.5193,43.8119,TopLayer,0
R8036,79.0907,41.5585,TopLayer,270
R8035,68.3283,46.1487,TopLayer,0
R8034,68.3283,47.4441,TopLayer,0
R8033,68.3283,48.5025,TopLayer,0
R8032,68.3283,49.7555,TopLayer,0
R8031,72.5968,52.9233,BottomLayer,90
R8030,73.8668,52.9233,BottomLayer,90
R8029,75.1029,52.9233,BottomLayer,90
R8028,71.3607,52.9233,BottomLayer,90
R8027,72.5193,44.8025,TopLayer,180
R8026,72.5968,55.0243,BottomLayer,90
R8025,73.8668,55.0243,BottomLayer,90
R8024,75.1029,55.0243,BottomLayer,90
R8023,71.3607,55.0243,BottomLayer,90
R8022,70.3967,46.1487,TopLayer,0
R8021,70.3967,47.4441,TopLayer,0
R8020,70.3967,48.5025,TopLayer,0
R8019,70.3967,49.7555,TopLayer,0
R8018,66.9495,41.3299,TopLayer,270
R8017,103.3731,54.5815,TopLayer,180
R8016,103.3731,55.6483,TopLayer,180
R8015,75.4585,41.5585,TopLayer,90
R8014,72.5193,41.7037,TopLayer,0
R8013,76.7285,41.5585,TopLayer,90
R8012,83.1293,41.6855,TopLayer,90
R8011,66.2891,49.7555,TopLayer,0
R8010,66.2891,48.5025,TopLayer,0
R8009,66.2891,47.4441,TopLayer,0
R8008,66.2891,46.1487,TopLayer,0
R8007,72.5193,45.8439,TopLayer,0
R8006,72.5121,42.7705,TopLayer,0
R8005,76.3983,55.3435,TopLayer,270
R8004,77.4143,55.3435,TopLayer,270
R8003,78.4303,55.3435,TopLayer,270
R8002,79.4463,55.3435,TopLayer,270
R8001,72.5193,50.9239,TopLayer,0
R8000,72.5193,51.9399,TopLayer,0
R7024,37.4855,27.0225,BottomLayer,180
R6032,75.2625,64.5891,TopLayer,180
R6031,65.2835,53.7229,TopLayer,90
R6030,56.5101,75.5111,BottomLayer,270
R6029,75.2625,63.5477,TopLayer,0
R6028,64.2167,53.7229,TopLayer,270
R6027,49.5251,75.5111,BottomLayer,270
R6026,70.4039,75.5111,BottomLayer,270
R6025,72.5375,71.8281,TopLayer,90
R6024,63.4951,75.5111,BottomLayer,270
R6023,69.9317,56.8979,TopLayer,90
R4015,84.2469,15.0845,TopLayer,0
R4014,93.7719,15.0845,TopLayer,0
R4013,88.8951,15.0845,TopLayer,0
R4012,98.4201,15.0845,TopLayer,0
R3004,4.5925,71.9805,TopLayer,90
R1028,18.5498,57.2739,TopLayer,90
R1027,22.2455,59.8139,TopLayer,90
R1024,21.1787,57.7565,TopLayer,270
R1019,18.0545,59.8139,TopLayer,270
R1018,16.0987,59.8139,TopLayer,270
R1017,21.1787,59.8139,TopLayer,270
R1016,17.3941,57.2739,TopLayer,270
R1015,19.7055,57.2739,TopLayer,270
R1014,27.1985,63.5803,TopLayer,90
R1013,26.1825,63.5803,TopLayer,90
R1012,25.1665,63.5803,TopLayer,90
R1011,24.1505,63.5803,TopLayer,90
R1009,9.0883,76.9589,TopLayer,0
R1008,14.9811,74.6221,TopLayer,0
R1007,30.5259,63.8525,TopLayer,90
R1006,31.8721,63.8525,TopLayer,90
R1005,11.6791,75.9429,TopLayer,90
Q3000,40.5717,45.5509,TopLayer,0
L2002,45.7665,61.8459,TopLayer,0
L2001,36.2149,65.0971,TopLayer,180
L2000,35.7837,77.0357,TopLayer,270
L1003,28.6463,68.2467,TopLayer,0
L1002,22.0855,77.8867,TopLayer,0
L1001,35.3315,91.2845,TopLayer,0
J7000,107.3901,82.1021,TopLayer,90
J6000,73.9351,90.3296,TopLayer,0
FB8001,84.5517,50.1619,BottomLayer,90
FB8000,84.6279,53.0321,TopLayer,90
FB6005,68.8771,58.7775,BottomLayer,0
FB6004,69.3371,53.3623,TopLayer,270
D7003,33.4723,99.9205,BottomLayer,180
D4007,86.6345,11.9603,TopLayer,90
D4006,96.2103,11.9603,TopLayer,90
D1002,12.3903,101.8763,BottomLayer,0
D1001,24.3037,91.8941,TopLayer,180
CON1000,31.5165,79.0417,TopLayer,270
CN7003,37.7543,104.9318,TopLayer,180
CN4007,86.6739,4.9961,TopLayer,180
CN4003,48.2705,4.9961,TopLayer,180
CN3000,4.1099,77.1621,TopLayer,180
CN1001,12.0417,102.0021,TopLayer,0
C8021,83.9421,56.6897,TopLayer,180
C8020,83.6253,37.0943,TopLayer,225
C8019,79.7511,37.2841,TopLayer,315
C8018,96.0833,55.0387,TopLayer,180
C8017,86.9593,50.6699,BottomLayer,0
C8016,86.3043,49.1459,BottomLayer,0
C8015,86.2463,46.4789,BottomLayer,0
C8014,78.9383,45.6789,BottomLayer,90
C8013,80.3353,45.0239,BottomLayer,90
C8012,83.0023,49.8825,BottomLayer,270
C8011,77.5413,45.0239,BottomLayer,90
C8010,75.7053,47.8759,BottomLayer,0
C8009,77.2873,50.4159,BottomLayer,270
C8008,75.7053,49.9079,BottomLayer,0
C8007,79.8273,50.2889,BottomLayer,270
C8006,86.7869,52.1431,TopLayer,0
C8005,86.0757,50.6953,TopLayer,0
C8004,84.7549,43.9643,TopLayer,270
C8003,81.5037,56.4357,TopLayer,90
C8002,80.8179,53.4965,TopLayer,90
C8001,78.0493,41.5585,TopLayer,270
C8000,75.7379,45.9201,BottomLayer,0
C7026,40.3375,30.2991,BottomLayer,0
C7025,37.4855,28.3941,BottomLayer,180
C7024,39.4739,97.0503,TopLayer,180
C7023,39.5247,101.2159,TopLayer,180
C7022,31.3641,103.8575,BottomLayer,90
C7021,25.1665,37.8683,TopLayer,180
C7020,24.6585,39.1383,TopLayer,180
C7019,71.4991,34.0918,TopLayer,270
C6060,65.7407,59.0823,BottomLayer,180
C6059,65.5883,60.9801,BottomLayer,90
C6058,66.9599,60.9547,BottomLayer,90
C6057,67.7877,53.0575,TopLayer,270
